,408_p14
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0773335157620223
55,0.27118598446640574
56,0.45302957906897934
57,0.6232200117995155
58,0.7821129948864807
59,0.9300642405590789
60,1.0674294610467991
61,1.194564368578447
62,1.3118246753832277
63,1.4195660936905727
64,1.5181443357287767
65,1.6079151137277836
66,1.6892341399162292
67,1.7624571265236018
68,1.827939785778537
69,1.886037829910922
70,1.9371069711488813
71,1.9815029217223574
72,2.019581393860158
73,2.0516980997913725
74,2.078208751745092
75,2.0994690619504084
76,2.1158347426361264
77,2.1276615060325312
78,2.135305064367691
79,2.1391211298709227
80,2.1394654147717156
81,2.1366770826283163
82,2.1309601440103205
83,2.1224526133903785
84,2.1112920584260793
85,2.0976160467768294
86,2.0815621460996487
87,2.063267924053831
88,2.0428709482971916
89,2.0205087864878877
90,1.9963190062845872
91,1.9704391753453903
92,1.943006861329192
93,1.9141596318935243
94,1.8840350546966576
95,1.8527706973972027
96,1.8205041276532603
97,1.7873729131237255
98,1.753514621466357
99,1.719066820339312
100,1.6841670774013722
101,1.6489529603103532
102,1.61356203672498
103,1.5781318743031822
104,1.5428000407037414
105,1.5077041035844738
106,1.472981630603763
107,1.4387701894198797
108,1.4052034578262325
109,1.372339947359077
110,1.3401701819692433
111,1.3086822360136394
112,1.2778641838497415
113,1.2477040998344575
114,1.2181900583244676
115,1.1893101336770777
116,1.1610524002494227
117,1.1334049323977855
118,1.1063558044796422
119,1.0798930908520141
120,1.0540048658720367
121,1.028679203896447
122,1.003904179282096
123,0.9796678663863465
124,0.9559583395658218
125,0.9327636731779982
126,0.9100719415793856
127,0.8878712191270626
128,0.8661495801784482
129,0.8448950990901094
130,0.8240958502190108
131,0.8037399079223444
132,0.7838153465571316
133,0.764310240480053
134,0.7452126640484709
135,0.7265108668501923
136,0.7082058492717649
137,0.6903197818028572
138,0.6728768309250497
139,0.6559011631194678
140,0.6394169448678055
141,0.6234483426509043
142,0.608019522950515
143,0.5931546522473652
144,0.5788778970234332
145,0.5652134237596171
146,0.5521853989376111
147,0.5398179890383132
148,0.5281353605433039
149,0.5171616799338223
150,0.5069211136914489
151,0.4974378282970817
152,0.4887359902321875
153,0.48083976597823286
154,0.4737733220165139
155,0.4675608248282699
156,0.4622264408949106
157,0.4577943366976185
158,0.45428867871786016
159,0.45173363343681805
160,0.4501533673359588
161,0.44957204689640795
162,0.4500138310197328
163,0.45148210912194164
164,0.45391422517266866
165,0.457234424722317
166,0.4613669533207214
167,0.46623605651817135
168,0.4717659798647289
169,0.4778809689102288
170,0.48450526920501735
171,0.4915631262990998
172,0.4989787857425383
173,0.5066764930853949
174,0.5145804938779022
175,0.5226150336698949
176,0.5307043580117194
177,0.5387727124533241
178,0.546744342544828
179,0.5545434938362361
180,0.5620944118777813
181,0.569321342219355
182,0.5761485304111331
183,0.5825002220032345
184,0.5883006625458633
185,0.5934740975887691
186,0.597944772682355
187,0.601636933376541
188,0.6044748252213892
189,0.6063826937671606
190,0.6072999482186403
191,0.6072628355474605
192,0.6063456884488416
193,0.6046229307594628
194,0.6021689863162023
195,0.5990582789556256
196,0.5953652325144971
197,0.5911642708297236
198,0.5865298177378135
199,0.5815362970755884
200,0.5762581326797558
201,0.5707697483871086
202,0.5651455680342976
203,0.5594600154580873
204,0.5537875144952138
205,0.5482024889824415
206,0.5427793627564212
207,0.5375925596539743
208,0.5327165035117516
209,0.5282256181666027
210,0.5241943274550933
211,0.5206970552140162
212,0.5178082252801643
213,0.5156022614903022
214,0.5141535876810237
215,0.5135366276891218
216,0.5138258053513041
217,0.5150910111342184
218,0.5173382698815217
219,0.5205263956369222
220,0.5246130956641948
221,0.5295560772271712
222,0.5353130475896832
223,0.5418417140156193
224,0.5490997837686691
225,0.5570449641127779
226,0.5656349623117207
227,0.5748274856292439
228,0.5845802413292644
229,0.5948509366756141
230,0.6055972789320108
231,0.6167769753624568
232,0.6283477332306133
233,0.6402672598003405
234,0.65249326233547
235,0.6649834480998336
236,0.6776955243572629
237,0.6905871983715897
238,0.7036161774065604
239,0.7167401687261488
240,0.7299168795940445
241,0.7431040172741077
242,0.7562592890301558
243,0.7693404021260064
244,0.7823060495036045
245,0.795156969190971
246,0.8079507767863716
247,0.8207491252258179
248,0.8336136674452219
249,0.8466060563805811
250,0.8597879449678216
251,0.8732209861429125
252,0.8869668328417943
253,0.9010871380004075
254,0.9156435545547068
255,0.9306977354406754
256,0.946311333594211
257,0.9625460019513112
258,0.9794633934479164
259,0.997125161019953
260,1.0155929576034182
261,1.0349284361342526
262,1.0551932495483682
263,1.0764490507817626
264,1.0987574927703618
265,1.1221802284501208
266,1.1467789107569941
267,1.1726151926269508
268,1.1997507269959313
269,1.2282471667998762
270,1.2581661649747402
271,1.2895692531447494
272,1.3224672697878233
273,1.3567421596506377
274,1.3922556842381097
275,1.4288696050549574
276,1.4664456836060835
277,1.5048456813962487
278,1.5439313599303133
279,1.5835644807130804
280,1.6236068052493677
281,1.6639200950440212
282,1.7043661116018085
283,1.7448066164276042
284,1.7851033710261972
285,1.8251181369024265
286,1.8647126755610954
287,1.9037487485070357
288,1.9420881172450506
289,1.9795925432799861
290,2.0161237881166456
291,2.0515436132598537
292,2.085713780214428
293,2.118496050485193
294,2.149752185576966
295,2.1793439469945723
296,2.207133096242822
297,2.2329813948265467
298,2.256750604250564
299,2.2783342896833303
300,2.2977863781690018
301,2.3152112261721327
302,2.330713208562132
303,2.344396700208408
304,2.356366075980398
305,2.366725710747518
306,2.3755799793791907
307,2.3830332567448465
308,2.3891899177138938
309,2.3941543371557628
310,2.398030889939841
311,2.4009239509356113
312,2.4029378950124474
313,2.4041770970397933
314,2.4047459318870543
315,2.404748774423664
316,2.4042899995190417
317,2.4034739820426068
318,2.4024050968637822
319,2.401187718851984
320,2.3999262228766347
321,2.3987249838071683
322,2.3976883765129933
323,2.3969207758635362
324,2.3965265567282095
325,2.39661009397645
326,2.397267112283442
327,2.398501589682764
328,2.400262245011143
329,2.4024970376918175
330,2.4051539271480222
331,2.4081808728030025
332,2.4115258340800003
333,2.415136770402247
334,2.418961641192993
335,2.422948405875473
336,2.427045023872924
337,2.4311994546085915
338,2.4353596575057153
339,2.43947359198753
340,2.4434892174772815
