,422_p14
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.07268815093502656
55,0.26859594571052403
56,0.4522088869235814
57,0.623896889931554
58,0.784029870090885
59,0.9329777427552925
60,1.0711104232794013
61,1.19879782702011
62,1.3164098693325021
63,1.4243164655712004
64,1.5228875310931063
65,1.6124929812514797
66,1.6935027314041313
67,1.7662866969034123
68,1.8312147931080411
69,1.8886569353708254
70,1.938983039048209
71,1.9825630194957278
72,2.019766792068462
73,2.050964272121947
74,2.076525375010809
75,2.096820016091037
76,2.1122181107181675
77,2.123089574247735
78,2.1298043220334564
79,2.13273226943314
80,2.1322433318009577
81,2.128707424492444
82,2.1224802086540593
83,2.113766160877086
84,2.102678698973823
85,2.089329989358738
86,2.0738321984472066
87,2.0562974926518764
88,2.036838038388124
89,2.015566002069507
90,1.9925935501109462
91,1.9680328489264538
92,1.9419960649309511
93,1.9145953645375409
94,1.8859429141606896
95,1.856150880216683
96,1.8253314291172598
97,1.7935967272777955
98,1.7610589411129847
99,1.7278302370363843
100,1.6940227814629156
101,1.6597487408065912
102,1.625120281482105
103,1.590249569903014
104,1.5552487724840123
105,1.520230055639112
106,1.4853055857834618
107,1.4505875293303918
108,1.4161880526948232
109,1.3822193222912231
110,1.3487924475911108
111,1.3159734531471412
112,1.283767373729779
113,1.2521749148733126
114,1.2211967821120302
115,1.1908336809813567
116,1.1610863170155805
117,1.1319553957503539
118,1.1034416227192831
119,1.0755457034582476
120,1.0482683435017635
121,1.0216102483841185
122,0.9955721236405104
123,0.9701546748061372
124,0.9453586074152867
125,0.921184627002702
126,0.8976334391040355
127,0.8747057492531207
128,0.8524022629847006
129,0.8307236858342
130,0.8096707233363623
131,0.7892440810254753
132,0.7694444644374188
133,0.7502725791057991
134,0.7317291305660414
135,0.7138148243526607
136,0.6965303660006279
137,0.6798764610451404
138,0.6638538149340727
139,0.6484628975897246
140,0.6337034299735658
141,0.6195749845096268
142,0.6060771336228479
143,0.5932094497381692
144,0.5809715052791669
145,0.5693628726710083
146,0.5583831243381789
147,0.5480318327049369
148,0.5383085701962225
149,0.5292129092369757
150,0.5207444222507727
151,0.5129026816623261
152,0.5056872598968036
153,0.4990977293783496
154,0.4931336625316769
155,0.4877946317812709
156,0.48308020955138975
157,0.4789899682669736
158,0.4755234803523942
159,0.47268031823236445
160,0.47046005433114235
161,0.4688622610737818
162,0.46788651088419986
163,0.4675323761873367
164,0.4677994294076777
165,0.4686872429699358
166,0.47019538929802795
167,0.4723199189270142
168,0.47502811911189813
169,0.4782732318103351
170,0.4820084038875345
171,0.4861867822106385
172,0.49076151364485643
173,0.49568574505619356
174,0.5009126233107688
175,0.5063952952748147
176,0.5120869078139956
177,0.5179406077945439
178,0.5239095420822375
179,0.5299468575433091
180,0.5360057010438775
181,0.5420392194493795
182,0.5480005596263888
183,0.5538428684406833
184,0.5595192927582682
185,0.564982979445035
186,0.5701870753673299
187,0.5750847273907036
188,0.5796290823816159
189,0.5837732872056174
190,0.587470488729168
191,0.5906738338178181
192,0.5933364693378005
193,0.5954115421553476
194,0.5968521991360101
195,0.5976132467577324
196,0.597695553406397
197,0.5971509129604735
198,0.5960337547003016
199,0.5943985079061642
200,0.5922996018584579
201,0.5897914658375223
202,0.5869285291236972
203,0.5837652209973223
204,0.5803559707386805
205,0.576755207628282
206,0.5730173609463529
207,0.5691968599732897
208,0.565348133989489
209,0.5615256122751768
210,0.5577837241108066
211,0.5541768987766043
212,0.5507595655529665
213,0.5475861537202329
214,0.5447110925589707
215,0.5421888113492921
216,0.5400737393714801
217,0.5384203059060448
218,0.5372829402333261
219,0.5367160716337205
220,0.5367741293872834
221,0.5375115427746389
222,0.5389827410761265
223,0.5412421092981683
224,0.5443255315222766
225,0.5482218508896901
226,0.5529125444840313
227,0.5583790893886382
228,0.5646029626871334
229,0.5715656414630823
230,0.5792486027997663
231,0.587633323780751
232,0.5967012814896018
233,0.6064339530097707
234,0.6168128154248231
235,0.6278193458181542
236,0.6394350212732727
237,0.6516413188737724
238,0.66441971570302
239,0.6777516888446096
240,0.6916187153819644
241,0.7060022723987069
242,0.720883836978147
243,0.73624488620385
244,0.75206689715941
245,0.768331346928222
246,0.7850197125938232
247,0.8021134712396938
248,0.8195940999493141
249,0.8374430758062212
250,0.8556418758938671
251,0.8741719772957888
252,0.8930181862772324
253,0.9121865698432439
254,0.931691556722968
255,0.9515475956554846
256,0.9717691353800157
257,0.9923706246358117
258,1.0133665121618387
259,1.0347712466974324
260,1.0565992769816726
261,1.0788650517537244
262,1.1015830197527814
263,1.1247676297180371
264,1.1484333303886283
265,1.1725945705036631
266,1.1972657988024205
267,1.2224614640239801
268,1.2481960149075642
269,1.2744839001923092
270,1.3013395686173803
271,1.328777468921957
272,1.356812049845204
273,1.3854577601262585
274,1.4147290485043138
275,1.4446403637185208
276,1.475206154508073
277,1.5064408696121214
278,1.5383589577698027
279,1.5709748677203104
280,1.6042999973674066
281,1.6382867914451973
282,1.6728343717771574
283,1.7078399389609453
284,1.7432006935942619
285,1.7788138362747512
286,1.8145765676000858
287,1.8503860881679524
288,1.8861395985760092
289,1.9217342994219289
290,1.9570673913033412
291,1.9920360748179755
292,2.026537550563476
293,2.0604690191374937
294,2.0937276811377155
295,2.1262107371618137
296,2.157815387807447
297,2.1884388336723015
298,2.217978275354022
299,2.2463309134503016
300,2.273393948558792
301,2.2990645812771584
302,2.3232400122030947
303,2.345817441934252
304,2.36669407106831
305,2.38576710020292
306,2.4029337299357616
307,2.4180911608645
308,2.431137057109532
309,2.442037546813652
310,2.450898965158566
311,2.4578448148340764
312,2.4629985985299934
313,2.4664838189361555
314,2.468423978742366
315,2.4689425806384486
316,2.468163127314207
317,2.4662091214594826
318,2.463204065764068
319,2.4592714629177985
320,2.4545348156104803
321,2.4491176265319305
322,2.443143398371981
323,2.436735633820434
324,2.430017835567104
325,2.423113506301825
326,2.4161461487144047
327,2.4092392654946524
328,2.4025163593324033
329,2.396100932917464
330,2.390116488939648
331,2.3846865300887794
332,2.3799345590546723
333,2.375984078527149
334,2.3729585911960234
335,2.3709815997511106
336,2.3701766068822296
337,2.3706354359738
338,2.3722901755792583
339,2.375022682020096
340,2.378714793284881
341,2.3832483473621755
