,dat_log
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0.003992021
43,0
44,0.003992021
45,0.001998003
46,0
47,0.019802627
48,0.015873349
49,0.011928571
50,0.039220713
51,0.039220713
52,0.005982072
53,0.1889661
54,0.138021298
55,0.257738196
56,0.523544396
57,0.260824618
58,0.628075184
59,0.776568789
60,1.050821625
61,0.97907772
62,0.897719346
63,1.783055029
64,1.588826959
65,1.722409391
66,1.709102236
67,2.014903021
68,1.633154439
69,2.094083818
70,2.037316615
71,2.262804223
72,2.246860944
73,2.049240033
74,2.100468909
75,2.034967052
76,1.951892221
77,2.101692151
78,2.094576429
79,2.095068798
80,2.127993582
81,1.866866942
82,2.249184316
83,1.68861871
84,2.259051091
85,1.987874348
86,1.932390599
87,2.170424189
88,2.059493904
89,2.119863456
90,2.086168862
91,2.221591934
92,1.675600115
93,2.028674425
94,2.089391873
95,1.667706821
96,1.846247655
97,1.794754978
98,1.718112929
99,1.808616586
100,1.802369648
101,1.953878319
102,1.402659715
103,1.734130356
104,1.280933845
105,1.652114187
106,1.552655898
107,1.418277407
108,1.313185889
109,1.369148202
110,0.897719346
111,0.838977629
112,1.200567011
113,1.2753628
114,1.168760049
115,1.345472367
116,1.503188113
117,1.182953437
118,1.357380351
119,0.975314072
120,1.109222468
121,0.75612198
122,1.111199404
123,1.058484498
124,0.864576296
125,1.014505779
126,0.766397642
127,1.466490903
128,0.932164081
129,0.984323142
130,0.679048256
131,0.83984156
132,0.73332897
133,0.670901572
134,0.97455964
135,0.757060506
136,0.443402947
137,0.528272537
138,0.489806257
139,0.757060506
140,0.688134639
141,0.550430878
142,0.648149815
143,0.449800922
144,0.397432936
145,0.534151449
146,0.471252849
147,0.615185639
148,0.608678024
149,0.536493371
150,0.495915011
151,0.476234179
152,0.539996001
153,0.303063174
154,0.512823626
155,0.601031892
156,0.483659956
157,0.500775288
158,0.235862324
159,0.62486834
160,0.471252849
161,0.669878554
162,0.607589292
163,0.473746616
164,0.578858034
165,0.394741145
166,0.498348102
167,0.335042644
168,0.443402947
169,0.584447764
170,0.551583616
171,0.560757993
172,0.45362015
173,0.647103242
174,0.602127782
175,0.436963775
176,0.177309015
177,0.246860078
178,0.248421358
179,0.392042088
180,0.53180403
181,0.634458184
182,0.451075619
183,0.691145178
184,0.74098451
185,0.726581957
186,0.688134639
187,0.739076112
188,0.518793793
189,0.59663628
190,0.914689451
191,0.593326845
192,0.53180403
193,0.47995396
194,0.579978482
195,0.587786665
196,0.613021136
197,0.595534352
198,0.579978482
199,0.54927681
200,0.477475644
201,0.671923544
202,0.711968935
203,0.870456196
204,0.80558261
205,0.489806257
206,0.076961041
207,0.542324291
208,0.566449528
209,0.553885113
210,0.248421358
211,0.508021696
212,0.746687947
213,0.308954208
214,0.443402947
215,0.524728529
216,0.515215972
217,0.530628251
218,0.593326845
219,0.559615788
220,0.489806257
221,0.590006422
222,0.564176799
223,0.525911261
224,0.616266136
225,0.705075751
226,0.551583616
227,0.518793793
228,0.54927681
229,0.53180403
230,0.583332315
231,0.66371837
232,0.722705983
233,0.671923544
234,0.508021696
235,0.574363645
236,0.685115009
237,0.646055573
238,0.818016163
239,0.732367894
240,0.689139159
241,0.686122566
242,0.671923544
243,0.702106922
244,0.685115009
245,0.476234179
246,1.072952542
247,0.967744013
248,0.926637024
249,0.842428883
250,0.760805829
251,0.965461776
252,0.889535995
253,0.982078472
254,1.115797113
255,0.871293366
256,0.793897084
257,0.909870164
258,0.810930216
259,1.342864803
260,1.091923301
261,1.072952542
262,0.983575479
263,0.818016163
264,1.21846725
265,1.192709612
266,1.201770381
267,1.127523632
268,1.155622543
269,1.158138268
270,1.52909516
271,1.261864283
272,1.29143408
273,1.352737578
274,1.305084306
275,1.682316558
276,1.342342474
277,1.461865548
278,1.609837832
279,1.646348266
280,1.599387577
281,1.746762103
282,1.504965891
283,1.676348618
284,1.588418545
285,1.773595499
286,1.960658006
287,1.8184014
